bus_category,route_name,route_link,bus_name,bus_type,departing_time,duration,reaching_time,star_rating,price,seats_available
Private,Bangalore to Chennai,https://www.redbus.in/bus-tickets/bangalore-to-chennai?date=20-11-2024,GreenLine Travels And Holidays,Sleeper + AC,08:45,05:45,14:30:00,4.1,900,38
Private,Bangalore to Chennai,https://www.redbus.in/bus-tickets/bangalore-to-chennai?date=20-11-2024,Dream Line Travels Pvt Ltd,Sleeper + AC,09:00,06:30,15:30:00,4.2,657,13
Private,Bangalore to Chennai,https://www.redbus.in/bus-tickets/bangalore-to-chennai?date=20-11-2024,Dream Line Travels Pvt Ltd,Sleeper + AC,09:15,06:30,15:45:00,4.2,657,25
Private,Bangalore to Chennai,https://www.redbus.in/bus-tickets/bangalore-to-chennai?date=20-11-2024,AdSPS Travels,Sleeper + AC,09:30,06:40,16:10:00,4.2,549,4
Private,Bangalore to Chennai,https://www.redbus.in/bus-tickets/bangalore-to-chennai?date=20-11-2024,AdSPS Travels,Sleeper + AC,09:45,06:40,16:25:00,4.2,549,36
Private,Bangalore to Chennai,https://www.redbus.in/bus-tickets/bangalore-to-chennai?date=20-11-2024,KBS Travels,Sleeper + AC,10:00,07:10,17:10:00,4.6,594,21
Private,Bangalore to Chennai,https://www.redbus.in/bus-tickets/bangalore-to-chennai?date=20-11-2024,KBS Travels,Sleeper + AC,10:01,07:10,17:11:00,4.6,594,9
Private,Bangalore to Chennai,https://www.redbus.in/bus-tickets/bangalore-to-chennai?date=20-11-2024,Asian Xpress,Sleeper + AC,10:03,06:55,16:58:00,4.7,445,31
Private,Bangalore to Chennai,https://www.redbus.in/bus-tickets/bangalore-to-chennai?date=20-11-2024,Asian Xpress,Sleeper + AC,10:04,06:55,16:59:00,4.7,445,17
Private,Bangalore to Chennai,https://www.redbus.in/bus-tickets/bangalore-to-chennai?date=20-11-2024,KBS Travels,Sleeper + Seater + AC,11:00,07:30,18:30:00,4.4,495,42
Private,Bangalore to Chennai,https://www.redbus.in/bus-tickets/bangalore-to-chennai?date=20-11-2024,KBS Travels,Sleeper + Seater + AC,11:01,07:30,18:31:00,4.4,495,6
Private,Bangalore to Chennai,https://www.redbus.in/bus-tickets/bangalore-to-chennai?date=20-11-2024,Mettur Super Services(mss),Sleeper + Seater + AC,11:03,06:30,17:33:00,4.4,404,28
Private,Bangalore to Chennai,https://www.redbus.in/bus-tickets/bangalore-to-chennai?date=20-11-2024,Mettur Super Services(mss),Sleeper + Seater + AC,11:04,06:30,17:34:00,4.4,404,11
Private,Bangalore to Chennai,https://www.redbus.in/bus-tickets/bangalore-to-chennai?date=20-11-2024,Highline Transports,Sleeper + AC,12:00,06:50,18:50:00,4.1,600,33
Private,Bangalore to Chennai,https://www.redbus.in/bus-tickets/bangalore-to-chennai?date=20-11-2024,Highline Transports,Sleeper + AC,12:01,06:50,18:51:00,4.1,600,20
Private,Bangalore to Chennai,https://www.redbus.in/bus-tickets/bangalore-to-chennai?date=20-11-2024,NueGo,Sleeper + Seater + AC,12:03,06:55,18:58:00,4.2,399,3
Private,Bangalore to Chennai,https://www.redbus.in/bus-tickets/bangalore-to-chennai?date=20-11-2024,NueGo,Sleeper + Seater + AC,12:04,06:55,18:59:00,4.2,399,39
Private,Bangalore to Chennai,https://www.redbus.in/bus-tickets/bangalore-to-chennai?date=20-11-2024,ADITHIYA AIRBUS,Sleeper + AC,13:00,06:40,19:40:00,4.7,650,14
Private,Bangalore to Chennai,https://www.redbus.in/bus-tickets/bangalore-to-chennai?date=20-11-2024,ADITHIYA AIRBUS,Sleeper + AC,13:01,06:40,19:41:00,4.7,650,26
Private,Bangalore to Chennai,https://www.redbus.in/bus-tickets/bangalore-to-chennai?date=20-11-2024,KBS Travels,Sleeper + AC,13:03,06:00,19:03:00,4.5,863,10
Private,Bangalore to Chennai,https://www.redbus.in/bus-tickets/bangalore-to-chennai?date=20-11-2024,KBS Travels,Sleeper + AC,13:04,06:00,19:04:00,4.5,863,35
Private,Bangalore to Chennai,https://www.redbus.in/bus-tickets/bangalore-to-chennai?date=20-11-2024,YBM Travels(BLM),Sleeper + AC,14:00,06:05,20:05:00,4.2,740,18
Private,Bangalore to Chennai,https://www.redbus.in/bus-tickets/bangalore-to-chennai?date=20-11-2024,YBM Travels(BLM),Sleeper + AC,14:01,06:05,20:06:00,4.2,740,43
Private,Bangalore to Chennai,https://www.redbus.in/bus-tickets/bangalore-to-chennai?date=20-11-2024,NueGo,Sleeper + Seater + AC,14:03,07:00,21:03:00,4,399,2
Private,Bangalore to Chennai,https://www.redbus.in/bus-tickets/bangalore-to-chennai?date=20-11-2024,NueGo,Sleeper + Seater + AC,14:04,07:00,21:04:00,4,399,30
Private,Bangalore to Chennai,https://www.redbus.in/bus-tickets/bangalore-to-chennai?date=20-11-2024,SKYLITE TRAVELS,Sleeper + AC,15:00,06:30,21:30:00,4.4,629,16
Private,Bangalore to Chennai,https://www.redbus.in/bus-tickets/bangalore-to-chennai?date=20-11-2024,SKYLITE TRAVELS,Sleeper + AC,15:01,06:30,21:31:00,4.4,629,37
Private,Bangalore to Chennai,https://www.redbus.in/bus-tickets/bangalore-to-chennai?date=20-11-2024,RKK Travels,Sleeper + AC,15:03,06:30,21:33:00,4.3,795,22
Private,Bangalore to Chennai,https://www.redbus.in/bus-tickets/bangalore-to-chennai?date=20-11-2024,RKK Travels,Sleeper + AC,15:04,06:30,21:34:00,4.3,795,8
Private,Bangalore to Chennai,https://www.redbus.in/bus-tickets/bangalore-to-chennai?date=20-11-2024,IntrCity SmartBus,Sleeper + Seater + AC,16:00,07:00,23:00:00,4.3,399,40
Private,Bangalore to Chennai,https://www.redbus.in/bus-tickets/bangalore-to-chennai?date=20-11-2024,IntrCity SmartBus,Sleeper + Seater + AC,16:01,07:00,23:01:00,4.3,399,13
Private,Bangalore to Chennai,https://www.redbus.in/bus-tickets/bangalore-to-chennai?date=20-11-2024,IntrCity SmartBus,Sleeper + AC,16:03,07:25,23:28:00,4,559,24
Private,Bangalore to Chennai,https://www.redbus.in/bus-tickets/bangalore-to-chennai?date=20-11-2024,IntrCity SmartBus,Sleeper + AC,16:04,07:25,23:29:00,4,559,7
Private,Bangalore to Chennai,https://www.redbus.in/bus-tickets/bangalore-to-chennai?date=20-11-2024,IntrCity SmartBus,Sleeper + AC,17:00,07:20,00:20:00,4.1,609,45
Private,Bangalore to Chennai,https://www.redbus.in/bus-tickets/bangalore-to-chennai?date=20-11-2024,IntrCity SmartBus,Sleeper + AC,17:01,07:20,00:21:00,4.1,609,19
Private,Bangalore to Chennai,https://www.redbus.in/bus-tickets/bangalore-to-chennai?date=20-11-2024,IntrCity SmartBus,Sleeper + Seater + AC,17:03,07:05,00:08:00,4.3,359,32
Private,Bangalore to Chennai,https://www.redbus.in/bus-tickets/bangalore-to-chennai?date=20-11-2024,IntrCity SmartBus,Sleeper + Seater + AC,17:04,07:05,00:09:00,4.3,359,5
Private,Bangalore to Chennai,https://www.redbus.in/bus-tickets/bangalore-to-chennai?date=20-11-2024,RKK Travels,Sleeper + AC,18:00,06:45,00:45:00,4.4,545,28
Private,Bangalore to Chennai,https://www.redbus.in/bus-tickets/bangalore-to-chennai?date=20-11-2024,RKK Travels,Sleeper + AC,18:01,06:45,00:46:00,4.4,545,15
Private,Bangalore to Chennai,https://www.redbus.in/bus-tickets/bangalore-to-chennai?date=20-11-2024,NWAY HOLIDAYS,Sleeper + AC,18:03,07:30,01:33:00,4.3,599,36
Private,Bangalore to Chennai,https://www.redbus.in/bus-tickets/bangalore-to-chennai?date=20-11-2024,NWAY HOLIDAYS,Sleeper + AC,18:04,07:30,01:34:00,4.3,599,11
Private,Bangalore to Chennai,https://www.redbus.in/bus-tickets/bangalore-to-chennai?date=20-11-2024,Jai Sai Baba Travels,Sleeper + AC,19:00,06:30,01:30:00,4.6,649,41
Private,Bangalore to Chennai,https://www.redbus.in/bus-tickets/bangalore-to-chennai?date=20-11-2024,Jai Sai Baba Travels,Sleeper + AC,19:01,06:30,01:31:00,4.6,649,17
Private,Bangalore to Chennai,https://www.redbus.in/bus-tickets/bangalore-to-chennai?date=20-11-2024,Go Link,Sleeper + AC,19:03,07:05,02:08:00,4.1,600,25
Private,Bangalore to Chennai,https://www.redbus.in/bus-tickets/bangalore-to-chennai?date=20-11-2024,Go Link,Sleeper + AC,19:04,07:05,02:09:00,4.1,600,9
Private,Bangalore to Chennai,https://www.redbus.in/bus-tickets/bangalore-to-chennai?date=20-11-2024,IntrCity SmartBus,Sleeper + Seater + AC,20:00,07:15,03:15:00,4.2,359,33
Private,Bangalore to Chennai,https://www.redbus.in/bus-tickets/bangalore-to-chennai?date=20-11-2024,IntrCity SmartBus,Sleeper + Seater + AC,20:01,07:15,03:16:00,4.2,359,20
Private,Bangalore to Chennai,https://www.redbus.in/bus-tickets/bangalore-to-chennai?date=20-11-2024,RKK Travels,Sleeper + AC,20:03,06:15,02:18:00,4.3,695,4
Private,Bangalore to Chennai,https://www.redbus.in/bus-tickets/bangalore-to-chennai?date=20-11-2024,RKK Travels,Sleeper + AC,20:04,06:15,02:19:00,4.3,695,38
Private,Bangalore to Chennai,https://www.redbus.in/bus-tickets/bangalore-to-chennai?date=20-11-2024,NueGo,Seater + AC,21:00,07:45,04:45:00,4.2,380,14
Private,Bangalore to Chennai,https://www.redbus.in/bus-tickets/bangalore-to-chennai?date=20-11-2024,NueGo,Seater + AC,21:01,07:45,04:46:00,4.2,380,27
Private,Bangalore to Chennai,https://www.redbus.in/bus-tickets/bangalore-to-chennai?date=20-11-2024,IntrCity SmartBus,Sleeper + AC,21:03,07:35,04:38:00,4.1,539,12
Private,Bangalore to Chennai,https://www.redbus.in/bus-tickets/bangalore-to-chennai?date=20-11-2024,IntrCity SmartBus,Sleeper + AC,21:04,07:35,04:39:00,4.1,539,42
Private,Bangalore to Chennai,https://www.redbus.in/bus-tickets/bangalore-to-chennai?date=20-11-2024,UST Bus,Sleeper + AC,22:00,06:00,04:00:00,4.2,707,6
Private,Bangalore to Chennai,https://www.redbus.in/bus-tickets/bangalore-to-chennai?date=20-11-2024,UST Bus,Sleeper + AC,22:01,06:00,04:01:00,4.2,707,31
Private,Bangalore to Chennai,https://www.redbus.in/bus-tickets/bangalore-to-chennai?date=20-11-2024,PADMAVATHI TRAVELS,Sleeper + AC,22:03,06:55,04:58:00,4.3,495,16
Private,Bangalore to Chennai,https://www.redbus.in/bus-tickets/bangalore-to-chennai?date=20-11-2024,PADMAVATHI TRAVELS,Sleeper + AC,22:04,06:55,04:59:00,4.3,495,35
Private,Bangalore to Chennai,https://www.redbus.in/bus-tickets/bangalore-to-chennai?date=20-11-2024,IntrCity SmartBus,Sleeper + Seater + AC,23:00,06:55,05:55:00,4.4,359,21
Private,Bangalore to Chennai,https://www.redbus.in/bus-tickets/bangalore-to-chennai?date=20-11-2024,IntrCity SmartBus,Sleeper + Seater + AC,23:01,06:55,05:56:00,4.4,359,8
Private,Bangalore to Chennai,https://www.redbus.in/bus-tickets/bangalore-to-chennai?date=20-11-2024,Streamline tours and travels,Sleeper + AC,23:03,06:45,05:48:00,4.3,800,39
Private,Bangalore to Chennai,https://www.redbus.in/bus-tickets/bangalore-to-chennai?date=20-11-2024,Streamline tours and travels,Sleeper + AC,23:04,06:45,05:49:00,4.3,800,13
Private,Bangalore to Chennai,https://www.redbus.in/bus-tickets/bangalore-to-chennai?date=20-11-2024,GEE PEE TRAVELS,Sleeper + AC,00:00,06:40,06:40:00,4.2,500,26
Private,Bangalore to Chennai,https://www.redbus.in/bus-tickets/bangalore-to-chennai?date=20-11-2024,GEE PEE TRAVELS,Sleeper + AC,00:01,06:40,06:41:00,4.2,500,10
Private,Bangalore to Chennai,https://www.redbus.in/bus-tickets/bangalore-to-chennai?date=20-11-2024,GRS Travels,Sleeper + AC,00:03,07:00,07:03:00,4.7,800,44
Private,Bangalore to Chennai,https://www.redbus.in/bus-tickets/bangalore-to-chennai?date=20-11-2024,GRS Travels,Sleeper + AC,00:04,07:00,07:04:00,4.7,800,18
Private,Bangalore to Chennai,https://www.redbus.in/bus-tickets/bangalore-to-chennai?date=20-11-2024,NueGo,Seater + AC,01:00,07:10,08:10:00,4,380,29
Private,Bangalore to Chennai,https://www.redbus.in/bus-tickets/bangalore-to-chennai?date=20-11-2024,NueGo,Seater + AC,01:01,07:10,08:11:00,4,380,7
Private,Bangalore to Chennai,https://www.redbus.in/bus-tickets/bangalore-to-chennai?date=20-11-2024,IntrCity SmartBus,Sleeper + AC,01:03,07:25,08:28:00,4.1,539,37
Private,Bangalore to Chennai,https://www.redbus.in/bus-tickets/bangalore-to-chennai?date=20-11-2024,IntrCity SmartBus,Sleeper + AC,01:04,07:25,08:29:00,4.1,539,22
Private,Bangalore to Chennai,https://www.redbus.in/bus-tickets/bangalore-to-chennai?date=20-11-2024,Krish Travels,Sleeper + Seater + AC,02:00,06:15,08:15:00,4.4,350,3
Private,Bangalore to Chennai,https://www.redbus.in/bus-tickets/bangalore-to-chennai?date=20-11-2024,Krish Travels,Sleeper + Seater + AC,02:01,06:15,08:16:00,4.4,350,40
Private,Bangalore to Chennai,https://www.redbus.in/bus-tickets/bangalore-to-chennai?date=20-11-2024,VGO BUS,Sleeper,02:03,05:47,07:50:00,4.6,349,15
Private,Bangalore to Chennai,https://www.redbus.in/bus-tickets/bangalore-to-chennai?date=20-11-2024,VGO BUS,Sleeper,02:04,05:47,07:51:00,4.6,349,28
Private,Bangalore to Chennai,https://www.redbus.in/bus-tickets/bangalore-to-chennai?date=20-11-2024,IntrCity SmartBus,Sleeper + AC,03:00,07:10,10:10:00,4,549,11
Private,Bangalore to Chennai,https://www.redbus.in/bus-tickets/bangalore-to-chennai?date=20-11-2024,IntrCity SmartBus,Sleeper + AC,03:01,07:10,10:11:00,4,549,34
Private,Bangalore to Chennai,https://www.redbus.in/bus-tickets/bangalore-to-chennai?date=20-11-2024,IntrCity SmartBus,Sleeper + AC,03:03,06:50,09:53:00,4.3,539,19
Private,Bangalore to Chennai,https://www.redbus.in/bus-tickets/bangalore-to-chennai?date=20-11-2024,IntrCity SmartBus,Sleeper + AC,03:04,06:50,09:54:00,4.3,539,5
Private,Bangalore to Chennai,https://www.redbus.in/bus-tickets/bangalore-to-chennai?date=20-11-2024,SPT Tours and Travels,Sleeper + AC,04:00,07:00,11:00:00,4.3,700,43
Private,Bangalore to Chennai,https://www.redbus.in/bus-tickets/bangalore-to-chennai?date=20-11-2024,SPT Tours and Travels,Sleeper + AC,04:01,07:00,11:01:00,4.3,700,17
Private,Bangalore to Chennai,https://www.redbus.in/bus-tickets/bangalore-to-chennai?date=20-11-2024,KMRL Kalaimakal,Sleeper + AC,04:03,07:00,11:03:00,4.6,850,30
Private,Bangalore to Chennai,https://www.redbus.in/bus-tickets/bangalore-to-chennai?date=20-11-2024,KMRL Kalaimakal,Sleeper + AC,04:04,07:00,11:04:00,4.6,850,9
Private,Bangalore to Chennai,https://www.redbus.in/bus-tickets/bangalore-to-chennai?date=20-11-2024,IntrCity SmartBus,Sleeper + AC,05:00,06:55,11:55:00,4.4,539,36
Private,Bangalore to Chennai,https://www.redbus.in/bus-tickets/bangalore-to-chennai?date=20-11-2024,IntrCity SmartBus,Sleeper + AC,05:01,06:55,11:56:00,4.4,539,12
Private,Bangalore to Chennai,https://www.redbus.in/bus-tickets/bangalore-to-chennai?date=20-11-2024,SPS Travels,Sleeper + AC,05:03,06:45,11:48:00,4,549,24
Private,Bangalore to Chennai,https://www.redbus.in/bus-tickets/bangalore-to-chennai?date=20-11-2024,SPS Travels,Sleeper + AC,05:04,06:45,11:49:00,4,549,6
Private,Bangalore to Chennai,https://www.redbus.in/bus-tickets/bangalore-to-chennai?date=20-11-2024,Green Line Travels And Holidays Premium Business Class,Sleeper + AC,06:00,06:00,12:00:00,4.3,1499,41
Private,Bangalore to Chennai,https://www.redbus.in/bus-tickets/bangalore-to-chennai?date=20-11-2024,Green Line Travels And Holidays Premium Business Class,Sleeper + AC,05:30,06:00,11:30:00,4.3,1499,20
Private,Bangalore to Chennai,https://www.redbus.in/bus-tickets/bangalore-to-chennai?date=20-11-2024,KBS Travels,Sleeper + AC,05:45,05:45,11:30:00,4.1,594,13
Private,Bangalore to Chennai,https://www.redbus.in/bus-tickets/bangalore-to-chennai?date=20-11-2024,KBS Travels,Sleeper + AC,06:00,05:45,11:45:00,4.1,594,24
Private,Bangalore to Chennai,https://www.redbus.in/bus-tickets/bangalore-to-chennai?date=20-11-2024,NueGo,Seater + AC,06:15,06:35,12:50:00,4,361,7
Private,Bangalore to Chennai,https://www.redbus.in/bus-tickets/bangalore-to-chennai?date=20-11-2024,NueGo,Seater + AC,06:30,06:35,13:05:00,4,361,45
Private,Bangalore to Chennai,https://www.redbus.in/bus-tickets/bangalore-to-chennai?date=20-11-2024,NueGo,Sleeper + Seater + AC,06:45,08:00,14:45:00,3.9,399,19
Private,Bangalore to Chennai,https://www.redbus.in/bus-tickets/bangalore-to-chennai?date=20-11-2024,NueGo,Sleeper + Seater + AC,07:00,08:00,15:00:00,3.9,399,32
Private,Bangalore to Chennai,https://www.redbus.in/bus-tickets/bangalore-to-chennai?date=20-11-2024,Sri Sugam Bus Tours and Travels,Sleeper + AC,07:15,06:10,13:25:00,4,474,5
Private,Bangalore to Chennai,https://www.redbus.in/bus-tickets/bangalore-to-chennai?date=20-11-2024,Sri Sugam Bus Tours and Travels,Sleeper + AC,07:30,06:10,13:40:00,4,474,28
Private,Bangalore to Chennai,https://www.redbus.in/bus-tickets/bangalore-to-chennai?date=20-11-2024,KGN INDIA,Sleeper + AC,07:45,07:30,15:15:00,3.9,430,15
Private,Bangalore to Chennai,https://www.redbus.in/bus-tickets/bangalore-to-chennai?date=20-11-2024,KGN INDIA,Sleeper + AC,08:00,07:30,15:30:00,3.9,430,36
Private,Bangalore to Chennai,https://www.redbus.in/bus-tickets/bangalore-to-chennai?date=20-11-2024,Sri Sugam Bus Tours and Travels,Sleeper + AC,08:15,07:15,15:30:00,3.9,699,11
Private,Bangalore to Chennai,https://www.redbus.in/bus-tickets/bangalore-to-chennai?date=20-11-2024,Sri Sugam Bus Tours and Travels,Sleeper + AC,08:30,07:15,15:45:00,3.9,699,41
Private,Bangalore to Chennai,https://www.redbus.in/bus-tickets/bangalore-to-chennai?date=20-11-2024,Sri Sugam Bus Tours and Travels,Sleeper + AC,08:45,06:25,15:10:00,3.9,569,17
Private,Bangalore to Chennai,https://www.redbus.in/bus-tickets/bangalore-to-chennai?date=20-11-2024,Sri Sugam Bus Tours and Travels,Sleeper + AC,09:00,06:25,15:25:00,3.9,569,25
Private,Bangalore to Chennai,https://www.redbus.in/bus-tickets/bangalore-to-chennai?date=20-11-2024,KMRL Kalaimakal(sk),Sleeper + Seater + AC,09:15,06:45,16:00:00,4.4,540,9
Private,Bangalore to Chennai,https://www.redbus.in/bus-tickets/bangalore-to-chennai?date=20-11-2024,KMRL Kalaimakal(sk),Sleeper + Seater + AC,09:30,06:45,16:15:00,4.4,540,33
Private,Bangalore to Chennai,https://www.redbus.in/bus-tickets/bangalore-to-chennai?date=20-11-2024,SPS Travels,Sleeper + AC,09:45,06:50,16:35:00,4,575,20
Private,Bangalore to Chennai,https://www.redbus.in/bus-tickets/bangalore-to-chennai?date=20-11-2024,SPS Travels,Sleeper + AC,10:00,06:50,16:50:00,4,575,4
Private,Bangalore to Chennai,https://www.redbus.in/bus-tickets/bangalore-to-chennai?date=20-11-2024,Jabbar Travels,Sleeper + AC,10:01,05:40,15:41:00,3.9,552,38
Private,Bangalore to Chennai,https://www.redbus.in/bus-tickets/bangalore-to-chennai?date=20-11-2024,Jabbar Travels,Sleeper + AC,10:03,05:40,15:43:00,3.9,552,14
Private,Bangalore to Chennai,https://www.redbus.in/bus-tickets/bangalore-to-chennai?date=20-11-2024,SPS Travels,Sleeper + AC,10:04,06:50,16:54:00,3.9,594,21
Private,Bangalore to Chennai,https://www.redbus.in/bus-tickets/bangalore-to-chennai?date=20-11-2024,SPS Travels,Sleeper + AC,11:00,06:50,17:50:00,3.9,594,8
Private,Bangalore to Chennai,https://www.redbus.in/bus-tickets/bangalore-to-chennai?date=20-11-2024,Yolo Bus,Sleeper + AC,11:01,06:29,17:30:00,3.8,550,39
Private,Bangalore to Chennai,https://www.redbus.in/bus-tickets/bangalore-to-chennai?date=20-11-2024,Yolo Bus,Sleeper + AC,11:03,06:29,17:32:00,3.8,550,13
Private,Bangalore to Chennai,https://www.redbus.in/bus-tickets/bangalore-to-chennai?date=20-11-2024,Jayavin Travels,Sleeper + AC,11:04,06:25,17:29:00,3.6,650,26
Private,Bangalore to Chennai,https://www.redbus.in/bus-tickets/bangalore-to-chennai?date=20-11-2024,Jayavin Travels,Sleeper + AC,12:00,06:25,18:25:00,3.6,650,10
Private,Bangalore to Chennai,https://www.redbus.in/bus-tickets/bangalore-to-chennai?date=20-11-2024,DLT BUS,Sleeper + AC,12:01,06:30,18:31:00,3.9,650,44
Private,Bangalore to Chennai,https://www.redbus.in/bus-tickets/bangalore-to-chennai?date=20-11-2024,DLT BUS,Sleeper + AC,12:03,06:30,18:33:00,3.9,650,18
Private,Bangalore to Chennai,https://www.redbus.in/bus-tickets/bangalore-to-chennai?date=20-11-2024,NueGo,Sleeper + Seater + AC,12:04,07:25,19:29:00,3.8,361,29
Private,Bangalore to Chennai,https://www.redbus.in/bus-tickets/bangalore-to-chennai?date=20-11-2024,NueGo,Sleeper + Seater + AC,13:00,07:25,20:25:00,3.8,361,7
Private,Bangalore to Chennai,https://www.redbus.in/bus-tickets/bangalore-to-chennai?date=20-11-2024,NueGo,Sleeper + Seater + AC,13:01,07:10,20:11:00,4.2,428,37
Private,Bangalore to Chennai,https://www.redbus.in/bus-tickets/bangalore-to-chennai?date=20-11-2024,NueGo,Sleeper + Seater + AC,13:03,07:10,20:13:00,4.2,428,22
Private,Bangalore to Chennai,https://www.redbus.in/bus-tickets/bangalore-to-chennai?date=20-11-2024,Jabbar Travels,Sleeper + Seater + AC + Non-AC,13:04,06:00,19:04:00,3.7,300,3
Private,Bangalore to Chennai,https://www.redbus.in/bus-tickets/bangalore-to-chennai?date=20-11-2024,Jabbar Travels,Sleeper + Seater + AC + Non-AC,14:00,06:00,20:00:00,3.7,300,40
Private,Bangalore to Chennai,https://www.redbus.in/bus-tickets/bangalore-to-chennai?date=20-11-2024,Sri Sugam Bus Tours and Travels,Sleeper + AC,14:01,06:20,20:21:00,3.8,699,15
Private,Bangalore to Chennai,https://www.redbus.in/bus-tickets/bangalore-to-chennai?date=20-11-2024,Sri Sugam Bus Tours and Travels,Sleeper + AC,14:03,06:20,20:23:00,3.8,699,28
Private,Bangalore to Chennai,https://www.redbus.in/bus-tickets/bangalore-to-chennai?date=20-11-2024,Yolo Bus,Sleeper + Seater + AC,14:04,06:07,20:11:00,4,450,11
Private,Bangalore to Chennai,https://www.redbus.in/bus-tickets/bangalore-to-chennai?date=20-11-2024,Yolo Bus,Sleeper + Seater + AC,15:00,06:07,21:07:00,4,450,34
Private,Bangalore to Chennai,https://www.redbus.in/bus-tickets/bangalore-to-chennai?date=20-11-2024,DLT BUS,Sleeper + AC,15:01,06:30,21:31:00,4.1,600,19
Private,Bangalore to Chennai,https://www.redbus.in/bus-tickets/bangalore-to-chennai?date=20-11-2024,DLT BUS,Sleeper + AC,15:03,06:30,21:33:00,4.1,600,5
Private,Bangalore to Chennai,https://www.redbus.in/bus-tickets/bangalore-to-chennai?date=20-11-2024,Swamy Ayyappa Travels,Sleeper + AC,15:04,05:30,20:34:00,3.8,600,43
Private,Bangalore to Chennai,https://www.redbus.in/bus-tickets/bangalore-to-chennai?date=20-11-2024,Swamy Ayyappa Travels,Sleeper + AC,16:00,05:30,21:30:00,3.8,600,17
Private,Bangalore to Chennai,https://www.redbus.in/bus-tickets/bangalore-to-chennai?date=20-11-2024,SHARMA TRANSPORTS,Sleeper + AC,16:01,07:10,23:11:00,3.6,500,30
Private,Bangalore to Chennai,https://www.redbus.in/bus-tickets/bangalore-to-chennai?date=20-11-2024,SHARMA TRANSPORTS,Sleeper + AC,16:03,07:10,23:13:00,3.6,500,9
Private,Bangalore to Chennai,https://www.redbus.in/bus-tickets/bangalore-to-chennai?date=20-11-2024,Royal Travels,Sleeper + AC,16:04,06:30,22:34:00,3.5,550,36
Private,Bangalore to Chennai,https://www.redbus.in/bus-tickets/bangalore-to-chennai?date=20-11-2024,Royal Travels,Sleeper + AC,17:00,06:30,23:30:00,3.5,550,12
Private,Bangalore to Chennai,https://www.redbus.in/bus-tickets/bangalore-to-chennai?date=20-11-2024,NueGo,Seater + AC,17:01,07:30,00:31:00,3.6,380,24
Private,Bangalore to Chennai,https://www.redbus.in/bus-tickets/bangalore-to-chennai?date=20-11-2024,NueGo,Seater + AC,17:03,07:30,00:33:00,3.6,380,6
Private,Bangalore to Chennai,https://www.redbus.in/bus-tickets/bangalore-to-chennai?date=20-11-2024,Go Link,Sleeper + AC,17:04,07:22,00:26:00,4.1,550,41
Private,Bangalore to Chennai,https://www.redbus.in/bus-tickets/bangalore-to-chennai?date=20-11-2024,Go Link,Sleeper + AC,18:00,07:22,01:22:00,4.1,550,20
